"lat","lon","N_khy_1850","N_khy_2000","N_to_1984","N_to_2000"
25.5789473684,-100,1.241709,6.69717,307.870743,409.054113
25.5789473684,-102.5,0.8617306,4.773877,214.2837865,291.9433995
25.5789473684,-105,1.529702,4.661786,264.46329,341.614928
25.5789473684,-107.5,1.900736,4.691834,309.105738,389.341055
25.5789473684,-110,0.2614533,1.30717,74.1261406,97.1889696
25.5789473684,-112.5,0.1604575,1.056101,51.1399157,67.4491066
25.5789473684,-115,0.1396467,0.9844106,49.7168951,66.0689458
25.5789473684,-117.5,0.1116296,0.7958476,47.3451002,62.0503279
25.5789473684,-120,0.1053773,0.8227315,43.6885972,57.1796459
25.5789473684,-122.5,0.1063888,0.8589148,43.0053227,56.3301284
25.5789473684,-125,0.1024241,0.8324895,39.6379293,51.946077
25.5789473684,-127.5,0.1003956,0.7775135,36.2694541,47.3927745
25.5789473684,-62.5,0.2696708,0.8170269,62.4357298,76.3891572
25.5789473684,-65,0.2906329,0.8678191,66.6944551,81.6796021
25.5789473684,-67.5,0.3299314,0.9113317,73.5885747,90.1157791
25.5789473684,-70,0.3740826,1.0311221,82.1062921,100.7036903
25.5789473684,-72.5,0.4299123,1.158382,91.182032,112.0092
25.5789473684,-75,0.5220659,1.5305446,110.971043,136.8409146
25.5789473684,-77.5,0.7556252,1.8301953,137.0088375,167.8193266
25.5789473684,-80,2.22156,3.565675,331.0073417,388.0780917
25.5789473684,-82.5,2.666876,3.574033,347.036037,402.568078
25.5789473684,-85,1.851169,3.479401,271.213605,322.474252
25.5789473684,-87.5,1.334796,3.288684,230.444069,279.012648
25.5789473684,-90,1.017013,2.872398,201.464644,245.753384
25.5789473684,-92.5,0.881076,2.669701,186.303093,228.844058
25.5789473684,-95,0.771102,2.728637,183.9902069,229.0431129
25.5789473684,-97.5,1.036583,5.386732,274.023054,355.864655
27.4736842105,-100,0.992106,6.78034,284.129599,384.773915
27.4736842105,-102.5,0.860633,5.75677,236.4415399,325.0246169
27.4736842105,-105,1.189339,5.053862,253.535275,339.108296
27.4736842105,-107.5,2.098063,3.690085,303.176415,365.776955
