UniqueID,TOWNNAME,STATE,Ecoregion,LATITUDE,LONGITUDE,Area_SqKM,ForestCovr,ForestArea,FIA_Plots,FIA_PltDns,FIA_FPlDns,Trees_FIA,Trees_Wit,WT_TreeDns,WT_FTrDns,WT_Method,WT_Year,WT_QualThr,FIA_QualTh,Min_Thrshd,PwrAnal,ag_decline,canopy_cov,clay,drain_clas,elevation,forest_cov,peak_ag,peak_ag_yr,ph_soil,precip,sand,temp_gdd,ruggedness,ASHS_WT,BASSWD_WT,BEECH_WT,BIRCHS_WT,BLKGUM_WT,CEDARS_WT,CHERRY_WT,CHSNUT_WT,CYPRES_WT,ELMS_WT,FIRS_WT,HEMLCK_WT,HICKRY_WT,HORNBM_WT,MAGNOL_WT,MAPLES_WT,OAKS_WT,PINES_WT,POPLAR_WT,SPRUCE_WT,SYCMOR_WT,TAMRAC_WT,TULIP_WT,WALNUT_WT,OTHER_WT,ASHS_FIA,BASSWD_FIA,BEECH_FIA,BIRCHS_FIA,BLKGUM_FIA,CEDARS_FIA,CHERRY_FIA,CHSNUT_FIA,CYPRES_FIA,ELMS_FIA,FIRS_FIA,HEMLCK_FIA,HICKRY_FIA,HORNBM_FIA,MAGNOL_FIA,MAPLES_FIA,OAKS_FIA,PINES_FIA,POPLAR_FIA,SPRUCE_FIA,SYCMOR_FIA,TAMRAC_FIA,TULIP_FIA,WALNUT_FIA,OTHER_FIA,ASHS_CH,BASSWD_CH,BEECH_CH,BIRCHS_CH,BLKGUM_CH,CEDARS_CH,CHERRY_CH,CHSNUT_CH,CYPRES_CH,ELMS_CH,FIRS_CH,HEMLCK_CH,HICKRY_CH,HORNBM_CH,MAGNOL_CH,MAPLES_CH,OAKS_CH,PINES_CH,POPLAR_CH,SPRUCE_CH,SYCMOR_CH,TAMRAC_CH,TULIP_CH,WALNUT_CH,OTHER_CH,SorDist,EucDist,Shan_wt,Shan_fia,Shan_dif,Simp_wt,Simp_fia,Simp_dif,tempdiff,tempdiff_i,N_khy_1850_i,N_khy_2000_i,N_to_1984_i,N_to_2000_i,N_khy_1850,N_khy_2000,N_to_1984,N_to_2000,envPCA1,envPCA2
1,BERKSHIRE,VT,ADIRON,44.97,-72.76,112.8934461,0.508453701,57.40109042,2,0.01771582,0.034842544,64,112,0.992085935,1.951182446,lotting/PLS section,1790,0.95,0.85,0.85,N,-0.00318495,42.5321,7.39482,well drained,203.125,0.508454,0.632156,1870,6.02864,112.298,65.8515,2882.11,44.3099,0.026786,0.044643,0.4375,0.089286,0,0,0,0,0,0,0,0.151786,0,0.026786,0,0.178571,0,0,0,0.044643,0,0,0,0,0,0.017241379,0,0,0.068965517,0,0,0,0,0,0.163054187,0.189655172,0.160591133,0,0,0,0.329064039,0,0.071428571,0,0,0,0,0,0,0,-0.009544621,-0.044643,-0.4375,-0.020320483,0,0,0,0,0,0.163054187,0.189655172,0.008805133,0,-0.026786,0,0.150493039,0,0.071428571,0,-0.044643,0,0,0,0,0,0.583436312,0.535721229,5.169079,5.547976,0.37889774,3.850214,4.835965,0.985750914,2.349601515,2.526750859,4.12219728,10.11531953,742.5794978,895.5101518,4.710369,10.36256,788.209183,946.455609,-0.223425242,-0.381156037
2,JAY,VT,ADIRON,44.9683,-72.485,91.3488288,0.892746655,81.55136136,2,0.021894096,0.024524422,65,135,1.47785146,1.655398484,lotting/PLS section,1805,0.95,0.85,0.85,N,-0.00251491,78.1441,7.63887,well drained,498.249,0.892747,0.451933,1879.99,5.623,136.758,69.7342,2415.27,164.136,0.007407,0,0.340741,0.074074,0,0.007407,0,0,0,0.007407,0.037037,0.118519,0,0,0,0.088889,0,0.007407,0,0.311111,0,0,0,0,0,0,0,0.355,0.1425,0,0,0,0,0,0,0,0.02,0,0,0,0.4825,0,0,0,0,0,0,0,0,0,-0.007407,0,0.014259,0.068426,0,-0.007407,0,0,0,-0.007407,-0.037037,-0.098519,0,0,0,0.393611,0,-0.007407,0,-0.311111,0,0,0,0,0,0.476295738,0.517592791,5.249905,2.930504,-2.319400923,4.133587,2.634786,-1.498801146,2.349601515,2.510269257,4.129456991,9.997691515,738.2612697,889.5671611,4.710369,10.36256,788.209183,946.455609,-0.153648566,0.388634759
3,AVERILL,VT,ADIRON,44.9583,-71.6983,99.87265151,0.945491246,94.42871768,3,0.030038253,0.031769996,114,114,1.141453624,1.207259855,lotting/PLS section,1787,0.95,0.9,0.9,N,-0.00333259,79.2969,6.58111,somewhat excessively drained,625.083,0.945491,0.200375,1880,4.85677,125.505,71.0432,2380.68,78.3056,0,0,0.026316,0.175439,0,0,0,0,0,0,0.192982,0.008772,0,0,0,0.070175,0,0,0,0.526316,0,0,0,0,0,0,0,0.033496732,0.339256536,0,0,0.009803922,0,0,0,0.184027778,0,0,0,0,0.251838235,0,0,0,0.181576797,0,0,0,0,0,0,0,0.007180732,0.163817536,0,0,0.009803922,0,0,0,-0.008954222,-0.008772,0,0,0,0.181663235,0,0,0,-0.344739203,0,0,0,0,0,0.362465425,0.423069309,3.612354,4.456674,0.844320346,2.851249,4.055611,1.204361136,2.349601515,2.494301381,4.096127349,9.612006296,721.7689428,867.579094,4.710369,10.36256,788.209183,946.455609,-0.227579679,0.346435722
4,Magalloway,ME,ADIRON,44.91,-70.93,291.2151919,0.8008407,233.2169781,7,0.024037208,0.030014967,209,122,0.418934188,0.523118004,sundry surveys,1858,0.9,0.85,0.85,N,-0.00311129,80.2228,6.38962,moderately well drained,522.095,0.800841,0.231296,1880.05,4.79167,104.969,61.9252,2344.29,96.4654,0.040984,0,0.07377,0.262295,0,0.106557,0,0,0,0,0.081967,0.032787,0,0,0,0.090164,0,0.032787,0.02459,0.254098,0,0,0,0,0,0,0,0.121293958,0.159275176,0,0,0.004464286,0,0,0,0.158407968,0,0,0,0,0.282060786,0,0.019564076,0.008403361,0.246530388,0,0,0,0,0,-0.040984,0,0.047523958,-0.103019824,0,-0.106557,0.004464286,0,0,0,0.076440968,-0.032787,0,0,0,0.191896786,0,-0.013222924,-0.016186639,-0.007567612,0,0,0,0,0,0.320325659,0.264881729,7.375616,5.386212,-1.989404322,5.901678,4.854776,-1.046901561,2.563843078,2.545306252,3.997759801,9.195063634,696.2676567,836.7186182,4.019159,8.788445,674.138713,809.062728,-0.194602574,0.335236739
5,OldTownCty,ME,LAUREN,44.9,-68.71,176.4982513,0.707241455,124.8268801,3,0.016997336,0.024033285,142,139,0.787543213,1.113542211,deeds,1798,0.95,0.85,0.85,N,-0.00171468,62.7869,15.3096,somewhat poorly drained,43.1674,0.707241,0.168127,1880,5.52559,103.965,33.938,2909.11,11.3407,0.035971,0,0.086331,0.071942,0,0.194245,0,0,0,0.028777,0.014388,0.244604,0,0,0,0.165468,0.043165,0.035971,0.007194,0.05036,0,0,0,0,0.021583,0.065359477,0,0,0.088747516,0,0.250199766,0,0,0,0,0.354426619,0.03030303,0,0,0,0.189368328,0,0,0.01010101,0.011494253,0,0,0,0,0,0.029388477,0,-0.086331,0.016805516,0,0.055954766,0,0,0,-0.028777,0.340038619,-0.21430097,0,0,0,0.023900328,-0.043165,-0.035971,0.00290701,-0.038865747,0,0,0,0,-0.021583,0.468994451,0.424054888,8.740837,5.085218,-3.655619191,6.844136,4.212674,-2.631462454,2.721093401,2.703987987,2.889858101,7.416831157,549.7903388,665.0085009,2.268588,6.283577,462.70018,562.483117,0.10931905,-0.618760986
6,LEMINGTON,VT,ADIRON,44.8933,-71.5767,88.89447743,0.968010042,86.05074687,4,0.044997171,0.046484199,112,91,1.02368564,1.057515516,lotting/PLS section,1787,0.95,0.9,0.9,N,-0.00333177,74.1349,6.67411,somewhat excessively drained,564.124,0.96801,0.200294,1880.01,4.8,120.192,70.8658,2400.26,129.472,0,0,0.153846,0.373626,0,0,0,0,0,0,0.098901,0,0,0,0,0.054945,0,0,0,0.307692,0,0,0,0,0.010989,0.052631579,0.006578947,0.028846154,0.081702654,0,0,0.039698605,0,0,0,0.141559829,0,0,0.006578947,0,0.56784188,0,0,0.032894737,0.041666667,0,0,0,0,0,0.052631579,0.006578947,-0.124999846,-0.291923346,0,0,0.039698605,0,0,0,0.042658829,0,0,0.006578947,0,0.51289688,0,0,0.032894737,-0.266025333,0,0,0,0,-0.010989,0.693938372,0.664930157,4.289957,4.476844,0.186887367,3.691938,2.799224,-0.892713429,2.349601515,2.485124918,4.151551856,9.588443723,724.6012657,870.2926416,4.710369,10.36256,788.209183,946.455609,-0.240398955,0.49938375
8,Mooers,NY,ADIRON,44.85,-73.77,84.5044507,0.849892963,71.81973802,3,0.035501089,0.041771247,102,100,1.183369623,1.392374892,lotting/PLS section,1829,0.95,0.9,0.9,N,-0.00240082,78.3131,8.44263,somewhat excessively drained,368.043,0.849893,0.390942,1880,5.07791,89.7912,67.8477,2932.07,114.875,0.04,0.01,0.24,0.11,0,0.01,0,0,0,0.01,0.09,0.13,0,0.02,0,0.1,0,0,0,0.24,0,0,0,0,0,0.006289308,0,0.08,0.146268344,0,0.06918239,0.080555556,0,0,0.111111111,0.177610063,0,0,0,0,0.328983229,0,0,0,0,0,0,0,0,0,-0.033710692,-0.01,-0.16,0.036268344,0,0.05918239,0.080555556,0,0,0.101111111,0.087610063,-0.13,0,-0.02,0,0.228983229,0,0,0,-0.24,0,0,0,0,0,0.593710692,0.428224071,7.280278,6.169542,-1.110736079,6.075334,5.229295,-0.846039044,2.273060838,2.589174736,4.138358336,10.5738978,760.8471366,920.5774056,4.032398,11.113148,770.02913,938.405309,-0.226038007,0.213327735
9,Madison,ME,LAUREN,44.8376,-69.8059,117.7215382,0.733611602,86.36188622,4,0.033978489,0.046316728,143,88,0.747526759,1.018968018,lotting/PLS section,1791,0.95,0.9,0.9,N,-0.00165181,59.6193,9.9077,somewhat excessively drained,125.59,0.733612,0.128064,1880,5.33318,104.062,54.035,2697.93,29.8131,0.034091,0.022727,0.25,0.056818,0,0.011364,0,0,0,0.011364,0.022727,0.193182,0,0.011364,0,0.204545,0,0.045455,0,0.136364,0,0,0,0,0,0.106744422,0,0,0.089469971,0,0.010869565,0,0,0,0.007352941,0.099369433,0.007352941,0,0,0,0.294668842,0,0.198430197,0.165601023,0.012787724,0,0,0,0,0.007352941,0.072653422,-0.022727,-0.25,0.032651971,0,-0.000494435,0,0,0,-0.004011059,0.076642433,-0.185829059,0,-0.011364,0,0.090123842,0,0.152975197,0.165601023,-0.123576276,0,0,0,0,0.007352941,0.59800103,0.429168663,7.416986,6.528955,-0.888030808,5.947772,5.454187,-0.493584943,2.721093401,2.692098486,3.616557628,8.4505867,636.4155147,766.0379964,4.019159,8.788445,674.138713,809.062728,-0.161507416,-0.378514579
11,TownshipE,ME,ADIRON,44.8277,-70.6042,80.78635684,0.976483301,78.88652841,4,0.049513311,0.050705743,186,194,2.401395577,2.459228514,lotting/PLS section,1821,0.95,0.9,0.9,WT,-0.00230605,85.7501,5.85828,moderately well drained,614.828,0.976483,0.189738,1870,4.75794,135.222,63.0207,2120.63,128.889,0,0,0.170103,0.226804,0,0,0,0,0,0,0,0.010309,0,0,0,0.087629,0,0.010309,0,0.453608,0,0,0,0,0.041237,0,0,0.005208333,0.540694444,0,0,0.003333333,0,0,0,0.260347222,0,0,0,0,0.119097222,0,0,0,0.071319444,0,0,0,0,0,0,0,-0.164894667,0.313890444,0,0,0.003333333,0,0,0,0.260347222,-0.010309,0,0,0,0.031468222,0,-0.010309,0,-0.382288556,0,0,0,0,-0.041237,0.609039027,0.58528376,4.201953,3.225121,-0.976832375,3.381495,2.635463,-0.746032265,2.563843078,2.591631401,3.982733759,9.043466878,687.1192756,825.4815177,4.019159,8.788445,674.138713,809.062728,-0.1778591,0.54135865
12,IRASBURG,VT,ADIRON,44.81,-72.2833,104.7458815,0.642553959,67.3048809,3,0.028640744,0.04457329,67,184,1.756632312,2.733828476,lotting/PLS section,1801,0.95,0.9,0.9,N,-0.002514,51.5052,6.39774,well drained,337.823,0.642554,0.451686,1880,5.42133,110.661,57.2841,2551.07,87.9528,0.01087,0.016304,0.217391,0.108696,0,0.01087,0,0,0,0.005435,0.086957,0.125,0,0.032609,0,0.190217,0,0,0,0.195652,0,0,0,0,0,0.126984127,0,0.111746032,0.132698413,0,0,0,0,0,0,0.015873016,0.158730159,0,0.031746032,0,0.377142857,0,0.015873016,0.013333333,0.015873016,0,0,0,0,0,0.116114127,-0.016304,-0.105644968,0.024002413,0,-0.01087,0,0,0,-0.005435,-0.071083984,0.033730159,0,-0.000862968,0,0.186925857,0,0.015873016,0.013333333,-0.179778984,0,0,0,0,0,0.38997921,0.315461365,7.282945,6.045143,-1.237802411,6.316424,4.638338,-1.678086151,2.349601515,2.451275282,4.320839196,10.02785118,751.421055,903.7442059,4.710369,10.36256,788.209183,946.455609,-0.168752399,0.014474798
